time,episode,reward,steps,choosen_moves,random_moves
609,608,2097,401,293,108
610,609,1434,291,229,62
611,610,1997,329,252,77
612,611,1810,309,240,69
613,612,3991,3022,2265,757
614,613,2769,375,276,99
615,614,1726,255,179,76
616,615,3611,676,504,172
617,616,4309,747,554,193
618,617,1450,228,170,58
619,618,1545,249,184,65
620,619,4692,788,577,211
621,620,5070,4092,3044,1048
622,621,4291,893,656,237
623,622,1452,258,199,59
624,623,2447,398,304,94
625,624,4286,3077,2315,762
626,625,4773,743,564,179
627,626,3268,478,375,103
628,627,2061,481,368,113
629,628,3131,576,432,144
630,629,2386,374,288,86
631,630,4612,852,659,193
632,631,3296,2840,2113,727
633,632,2041,308,230,78
634,633,3024,484,359,125
635,634,2664,620,444,176
636,635,1443,297,203,94
637,636,1572,294,218,76
638,637,3560,656,479,177
639,638,3351,608,454,154
640,639,2095,442,311,131
641,640,1699,268,197,71
642,641,2538,537,383,154
643,642,2174,404,306,98
644,643,1487,272,198,74
645,644,2659,473,366,107
646,645,2041,451,326,125
647,646,5040,3200,2371,829
648,647,2797,492,368,124
649,648,2111,468,351,117
650,649,1879,382,287,95
651,650,2268,419,307,112
652,651,2514,499,370,129
653,652,1407,235,173,62
654,653,4839,3038,2252,786
655,654,3489,587,440,147
656,655,1473,282,209,73
657,656,3218,567,436,131
658,657,2725,382,286,96
659,658,2016,396,292,104
660,659,3783,631,478,153
661,660,1558,242,189,53
662,661,2915,573,438,135
663,662,1683,326,251,75
664,663,1456,329,237,92
665,664,2475,406,305,101
666,665,4669,3120,2328,792
667,666,2481,407,309,98
668,667,3072,508,373,135
669,668,2662,454,357,97
670,669,2857,453,346,107
671,670,4079,703,532,171
672,671,2404,395,309,86
673,672,2039,482,343,139
674,673,2885,461,344,117
675,674,3844,726,542,184
676,675,2663,461,339,122
677,676,2605,423,325,98
678,677,1891,318,233,85
679,678,2760,483,362,121
680,679,3516,595,442,153
681,680,2682,505,396,109
682,681,2155,401,299,102
683,682,1964,388,306,82
684,683,2463,543,404,139
685,684,5586,852,632,220
686,685,1480,219,166,53
687,686,5125,979,755,224
688,687,2466,422,316,106
689,688,2969,552,390,162
690,689,1811,328,247,81
691,690,3969,629,481,148
692,691,2991,493,370,123
693,692,3813,5193,3965,1228
694,693,3004,535,414,121
695,694,3455,615,472,143
696,695,2915,519,391,128
697,696,2849,472,368,104
698,697,1689,291,228,63
699,698,1600,246,189,57
700,699,4101,2957,2199,758
701,700,2494,425,324,101
702,701,3380,560,435,125
703,702,3320,509,384,125
704,703,1762,314,253,61
705,704,5238,1029,764,265
706,705,4487,3844,2924,920
707,706,2539,397,301,96
708,707,2034,302,236,66
709,708,1827,306,236,70
710,709,1830,345,256,89
711,710,3977,712,550,162
712,711,1849,369,275,94
713,712,2456,475,349,126
714,713,2554,501,367,134
715,714,1531,294,216,78
716,715,2009,383,279,104
717,716,1450,224,169,55
718,717,3194,590,438,152
719,718,1783,319,238,81
720,719,4573,3095,2279,816
721,720,1579,265,198,67
722,721,2797,413,296,117
723,722,1765,369,271,98
724,723,1440,273,206,67
725,724,2621,400,305,95
726,725,1805,279,220,59
727,726,3644,604,452,152
728,727,1437,255,201,54
729,728,2016,283,221,62
730,729,5528,1054,809,245
731,730,4329,2182,1654,528
732,731,2928,667,499,168
733,732,1575,257,191,66
734,733,2493,466,351,115
735,734,1773,345,252,93
736,735,2541,432,324,108
737,736,5142,1914,1431,483
738,737,1475,320,228,92
739,738,4049,735,537,198
740,739,3057,475,355,120
741,740,2277,396,297,99
742,741,1445,298,229,69
743,742,1831,311,230,81
744,743,3527,591,438,153
745,744,5136,981,731,250
746,745,1992,393,295,98
747,746,1461,246,176,70
748,747,1456,269,203,66
749,748,1797,283,211,72
750,749,2979,469,347,122
751,750,2424,424,315,109
752,751,2514,454,334,120
753,752,1799,339,256,83
754,753,3851,672,500,172
755,754,2425,411,305,106
756,755,2720,512,404,108
757,756,2371,371,285,86
758,757,2333,424,311,113
759,758,4353,2968,2212,756
760,759,2108,357,261,96
761,760,2993,504,375,129
762,761,3862,747,540,207
763,762,5728,925,688,237
764,763,2736,437,322,115
765,764,2683,478,340,138
766,765,5411,3583,2658,925
767,766,3907,3115,2354,761
768,767,4649,868,635,233
769,768,4579,5398,4048,1350
770,769,4838,780,557,223
771,770,2873,538,415,123
772,771,2467,489,367,122
773,772,4271,641,480,161
774,773,5331,885,678,207
775,774,5877,1041,779,262
776,775,2686,487,358,129
777,776,4892,2332,1738,594
778,777,3856,2998,2207,791
779,778,5037,2345,1721,624
780,779,3419,641,478,163
781,780,2045,332,248,84
782,781,2755,471,355,116
783,782,2870,610,454,156
784,783,2004,350,263,87
785,784,2502,385,296,89
786,785,2746,405,302,103
787,786,1443,308,222,86
788,787,3008,546,402,144
789,788,2856,506,390,116
790,789,4175,689,526,163
791,790,3054,518,366,152
792,791,1835,327,240,87
793,792,2271,524,359,165
794,793,1777,406,307,99
795,794,2768,431,303,128
796,795,1440,247,189,58
797,796,1457,213,153,60
798,797,3510,2910,2176,734
799,798,2423,450,338,112
800,799,4469,3108,2344,764
801,800,3301,545,423,122
802,801,1601,320,231,89
803,802,3129,580,437,143
804,803,1455,249,189,60
805,804,2877,539,412,127
806,805,2613,589,443,146
807,806,4650,878,644,234
808,807,2708,455,326,129
809,808,2334,373,273,100
810,809,2442,534,418,116
811,810,1716,256,187,69
812,811,1534,261,199,62
813,812,2110,361,267,94
814,813,3262,541,414,127
815,814,1660,259,190,69
816,815,1977,368,278,90
817,816,2492,427,308,119
818,817,4853,906,692,214
819,818,3409,759,564,195
820,819,2005,363,270,93
821,820,1533,304,224,80
822,821,1535,226,170,56
823,822,2787,483,366,117
824,823,4712,3235,2431,804
825,824,2410,492,362,130
826,825,3679,726,539,187
827,826,2447,491,364,127
828,827,1554,261,198,63
829,828,3580,2770,2043,727
830,829,3388,694,515,179
831,830,1904,325,234,91
832,831,4772,1303,993,310
833,832,1685,310,225,85
834,833,5446,2506,1860,646
835,834,5193,3278,2461,817
836,835,2538,413,301,112
837,836,4058,567,412,155
838,837,1528,270,207,63
839,838,1557,291,223,68
840,839,3061,530,388,142
841,840,3904,817,599,218
842,841,2415,391,294,97
843,842,5228,1787,1345,442
844,843,1820,313,231,82
845,844,2290,414,302,112
846,845,3743,658,492,166
847,846,2466,463,349,114
848,847,2835,486,361,125
849,848,2767,520,395,125
850,849,2451,427,324,103
851,850,5146,1211,925,286
852,851,1990,349,265,84
853,852,2198,361,272,89
854,853,3041,613,465,148
855,854,3214,531,406,125
856,855,2032,347,262,85
857,856,3209,551,424,127
858,857,4013,595,446,149
859,858,3550,673,494,179
860,859,1452,247,183,64
861,860,2217,381,295,86
862,861,2493,517,358,159
863,862,3754,671,524,147
864,863,5140,1383,1041,342
865,864,2696,513,388,125
866,865,2580,469,350,119
867,866,3473,709,494,215
868,867,2123,406,314,92
869,868,2556,524,386,138
870,869,2067,374,273,101
871,870,2249,303,228,75
872,871,1854,257,202,55
873,872,1468,271,215,56
874,873,1687,293,215,78
875,874,4954,3975,2969,1006
876,875,2769,541,417,124
877,876,2492,609,439,170
878,877,3790,668,485,183
879,878,4526,4107,3042,1065
880,879,1823,352,262,90
881,880,2517,380,301,79
882,881,2460,470,356,114
883,882,5562,1444,1071,373
884,883,4518,725,547,178
885,884,2045,351,265,86
886,885,5091,836,634,202
887,886,2210,374,278,96
888,887,2359,484,357,127
889,888,3387,659,507,152
890,889,3069,502,388,114
891,890,2246,368,292,76
892,891,1475,216,175,41
893,892,2514,429,320,109
894,893,4072,3524,2627,897
895,894,3773,686,507,179
896,895,3155,420,310,110
897,896,2481,507,373,134
898,897,2024,399,309,90
899,898,3577,693,512,181
900,899,1469,223,175,48
901,900,2474,445,318,127
902,901,5059,1051,788,263
903,902,1948,347,264,83
904,903,2738,500,378,122
905,904,2350,478,353,125
906,905,2477,420,310,110
907,906,1845,253,178,75
908,907,2563,399,315,84
909,908,3350,2841,2131,710
910,909,2066,321,239,82
911,910,1812,350,267,83
912,911,2885,428,329,99
913,912,2713,421,318,103
914,913,3578,643,489,154
915,914,4668,1557,1132,425
916,915,1982,356,266,90
917,916,1552,281,203,78
918,917,2023,379,284,95
919,918,3360,559,422,137
920,919,3234,627,455,172
921,920,2973,522,375,147
922,921,2805,434,337,97
923,922,3574,586,433,153
924,923,3547,588,447,141
925,924,1981,436,319,117
926,925,4717,3146,2384,762
927,926,2077,327,246,81
928,927,2916,515,400,115
929,928,2007,335,259,76
930,929,3373,605,481,124
931,930,4607,910,672,238
932,931,2216,419,302,117
933,932,5320,2364,1770,594
934,933,4130,714,545,169
935,934,1800,261,205,56
936,935,4231,5265,3959,1306
937,936,3674,695,517,178
938,937,4168,751,559,192
939,938,2223,404,300,104
940,939,2729,713,507,206
941,940,1973,285,211,74
942,941,3544,558,435,123
943,942,2134,350,270,80
944,943,4091,681,522,159
945,944,3126,558,417,141
946,945,2472,434,328,106
947,946,2419,490,369,121
948,947,2482,437,328,109
949,948,1572,377,270,107
950,949,2812,526,394,132
951,950,3380,513,404,109
952,951,2391,464,348,116
953,952,3110,572,425,147
954,953,6837,1331,1016,315
955,954,2967,529,393,136
956,955,2594,477,329,148
957,956,3225,614,446,168
958,957,1975,309,247,62
959,958,2799,385,285,100
960,959,2358,429,320,109
961,960,2096,316,224,92
962,961,2335,459,356,103
963,962,3225,518,397,121
964,963,1911,359,272,87
965,964,3048,547,386,161
966,965,2954,621,464,157
967,966,2872,444,348,96
968,967,3372,624,463,161
969,968,1448,274,217,57
970,969,3292,608,465,143
971,970,4011,780,571,209
972,971,3627,718,570,148
973,972,2026,351,260,91
974,973,2741,553,401,152
975,974,6266,1393,1060,333
976,975,1567,255,197,58
977,976,2027,302,223,79
978,977,3121,527,407,120
979,978,1960,341,268,73
980,979,5550,984,763,221
981,980,2979,520,377,143
982,981,4647,671,521,150
983,982,3834,665,500,165
984,983,1987,315,240,75
985,984,1682,290,207,83
986,985,3460,652,502,150
987,986,2976,563,418,145
988,987,3156,552,411,141
989,988,4339,3060,2314,746
990,989,1681,292,218,74
991,990,3279,570,429,141
992,991,1542,250,187,63
993,992,2687,458,361,97
994,993,4269,696,515,181
995,994,2570,400,310,90
996,995,2908,456,337,119
997,996,4810,945,720,225
998,997,4860,2494,1857,637
999,998,2100,390,273,117
1000,999,2013,345,249,96
1001,1000,4120,671,518,153
1002,1001,2656,436,329,107
1003,1002,4977,1019,765,254
1004,1003,2716,446,339,107
1005,1004,2019,355,246,109
1006,1005,1818,309,246,63
1007,1006,4392,793,602,191
1008,1007,3057,517,398,119
1009,1008,1487,211,157,54
1010,1009,4337,797,581,216
1011,1010,1535,327,241,86
1012,1011,3774,602,457,145
1013,1012,2034,442,345,97
1014,1013,1990,316,236,80
1015,1014,1968,393,297,96
1016,1015,2513,405,298,107
1017,1016,2488,434,341,93
1018,1017,3846,685,520,165
1019,1018,1989,307,238,69
1020,1019,4057,736,553,183
1021,1020,1814,350,268,82
1022,1021,1904,379,265,114
1023,1022,3053,503,382,121
1024,1023,3344,639,476,163
1025,1024,2653,495,351,144
1026,1025,2266,352,278,74
1027,1026,2562,430,337,93
1028,1027,3636,754,553,201
1029,1028,3007,536,394,142
1030,1029,2816,550,399,151
1031,1030,1447,256,190,66
1032,1031,4903,879,648,231
1033,1032,2641,538,395,143
1034,1033,3528,714,524,190
1035,1034,1704,306,230,76
1036,1035,4028,3012,2275,737
1037,1036,2535,401,293,108
1038,1037,3377,666,512,154
1039,1038,1397,392,303,89
1040,1039,1960,388,271,117
1041,1040,3737,673,499,174
1042,1041,2684,523,390,133
1043,1042,1482,281,198,83
1044,1043,2031,307,232,75
1045,1044,2382,535,387,148
1046,1045,3980,2932,2200,732
1047,1046,1470,272,206,66
1048,1047,2572,445,311,134
